100, Continue, The server has received the request headers and the client should proceed to send the request body (in the case of a request for which a body needs to be sent; for example a POST request). Sending a large request body to a server after a request has been rejected for inappropriate headers would be inefficient. To have a server check the request's headers. a client must send Expect: 100-continue as a header in its initial request and receive a 100 Continue status code in response before sending the body. If the client receives an error code such as 403 (Forbidden) or 405 (Method Not Allowed) then it should not send the request's body. The response 417 Expectation Failed indicates that the request should be repeated without the Expect header as it indicates that the server does not support expectations (this is the case for example of HTTP/1.0 servers).: §10.1.1 , informational, 
101, Switching Protocols, The requester has asked the server to switch protocols and the server has agreed to do so., informational, 
102, Processing (WebDAV; RFC 2518), A WebDAV request may contain many sub-requests involving file operations requiring a long time to complete the request. This code indicates that the server has received and is processing the request but no response is available yet. This prevents the client from timing out and assuming the request was lost. The status code is deprecated., informational, 
103, Early Hints (RFC 8297), Used to return some response headers before final HTTP message., informational, 
200, OK, Standard response for successful HTTP requests. The actual response will depend on the request method used. In a GET request the response will contain an entity corresponding to the requested resource. In a POST reques the response will contain an entity describing or containing the result of the action., success, 
201, Created, The request has been fulfilled resulting in the creation of a new resource., success, 
202, Accepted, The request has been accepted for processing but the processing has not been completed. The request might or might not be eventually acted upon and may be disallowed when processing occurs., success, 
203, Non-Authoritative Information (since HTTP/1.1), The server is a transforming proxy (e.g. a Web accelerator) that received a 200 OK from its origin but is returning a modified version of the origin's response.: §15.3.4 : §7.7 , success, 
204, No Content, The server successfully processed the request and is not returning any content., success, 
205, Reset Content, The server successfully processed the request asks that the requester reset its document view and is not returning any content., success, 
206, Partial Content, The server is delivering only part of the resource (byte serving) due to a range header sent by the client. The range header is used by HTTP clients to enable resuming of interrupted downloads or split a download into multiple simultaneous streams., success, 
207, Multi-Status (WebDAV; RFC 4918), The message body that follows is by default an XML message and can contain a number of separate response codes depending on how many sub-requests were made., success, 
208, Already Reported (WebDAV; RFC 5842), The members of a DAV binding have already been enumerated in a preceding part of the (multistatus) response and are not being included again., success, 
226, IM Used (RFC 3229), The server has fulfilled a request for the resource and the response is a representation of the result of one or more instance-manipulations applied to the current instance., redirection, 
301, Moved Permanently, This and all future requests should be directed to the given URI., redirection, 
302, Found (Previously "Moved temporarily"), Tells the client to look at (browse to) another URL. The HTTP/1.0 specification required the client to perform a temporary redirect with the same method (the original describing phrase was "Moved Temporarily") but popular browsers implemented 302 redirects by changing the method to GET. Therefore HTTP/1.1 added status codes 303 and 307 to distinguish between the two behaviours.: §15.4 , redirection, 
303, See Other (since HTTP/1.1), The response to the request can be found under another URI using the GET method. When received in response to a POST (or PUT/DELETE) the client should presume that the server has received the data and should issue a new GET request to the given URI., redirection, 
304, Not Modified, Indicates that the resource has not been modified since the version specified by the request headers If-Modified-Since or If-None-Match. In such case there is no need to retransmit the resource since the client still has a previously-downloaded copy., redirection, 
305, Use Proxy (since HTTP/1.1), The requested resource is available only through a proxy the address for which is provided in the response. For security reasons many HTTP clients (such as Mozilla Firefox and Internet Explorer) do not obey this status code., redirection, 
306, Switch Proxy, No longer used. Originally meant "Subsequent requests should use the specified proxy.", redirection, 
307, Temporary Redirect (since HTTP/1.1), In this case the request should be repeated with another URI; however future requests should still use the original URI. In contrast to how 302 was historically implemented the request method is not allowed to be changed when reissuing the original request. For example a POST request should be repeated using another POST request., redirection, 
308, Permanent Redirect, This and all future requests should be directed to the given URI. 308 parallel the behaviour of 301 but does not allow the HTTP method to change. So for example submitting form to a permanently redirected resource may continue smoothly., redirection, 
400, Bad Request, The server cannot or will not process the request due to an apparent client error (e.g. malformed request syntax or size too large or invalid request message framing or deceptive request routing)., client errors, 
401, Unauthorized, Similar to 403 Forbidden but specifically for use when authentication is required and has failed or has not yet been provided. The response must include a WWW-Authenticate header field containing a challenge applicable to the requested resource. See Basic access authentication and Digest access authentication. 401 semantically means "unauthenticated" the user does not have valid authentication credentials for the target resource., client errors, 
402, Payment Required, Reserved for future use. The original intention was that this code might be used as part of some form of digital cash or micropayment scheme as proposed for example by GNU Taler but that has not yet happened and this code is not widely used. Google Developers API uses this status if a particular developer has exceeded the daily limit on requests. Sipgate uses this code if an account does not have sufficient funds to start a call. Shopify uses this code when the store has not paid their fees and is temporarily disabled. Stripe uses this code for failed payments where parameters were correct for example blocked fraudulent payments., client errors, 
403, Forbidden, The request contained valid data and was understood by the server but the server is refusing action. This may be due to the user not having the necessary permissions for a resource or needing an account of some sort or attempting a prohibited action (e.g. creating a duplicate record where only one is allowed). This code is also typically used if the request provided authentication by answering the WWW-Authenticate header field challenge but the server did not accept that authentication. The request should not be repeated., client errors, 
404, Not Found, The requested resource could not be found but may be available in the future. Subsequent requests by the client are permissible., client errors, 
405, Method Not Allowed, A request method is not supported for the requested resource; for example a GET request on a form that requires data to be presented via POST or a PUT request on a read-only resource., client errors, 
406, Not Acceptable, The requested resource is capable of generating only content not acceptable according to the Accept headers sent in the request. See Content negotiation., client errors, 
407, Proxy Authentication Required, The client must first authenticate itself with the proxy., client errors, 
408, Request Timeout, The server timed out waiting for the request. According to HTTP specifications: "The client did not produce a request within the time that the server was prepared to wait. The client MAY repeat the request without modifications at any later time.", client errors, 
409, Conflict, Indicates that the request could not be processed because of conflict in the current state of the resource such as an edit conflict between multiple simultaneous updates., client errors, 
410, Gone, Indicates that the resource requested was previously in use but is no longer available and will not be available again. This should be used when a resource has been intentionally removed and the resource should be purged. Upon receiving a 410 status code the client should not request the resource in the future. Clients such as search engines should remove the resource from their indices. Most use cases do not require clients and search engines to purge the resource and a "404 Not Found" may be used instead., client errors, 
411, Length Required, The request did not specify the length of its content which is required by the requested resource., client errors, 
412, Precondition Failed, The server does not meet one of the preconditions that the requester put on the request header fields., client errors, 
